codigo,descricao,valor_referencia,capitulo,grupo,subgrupo
10101012,CONSULTA MÉDICA EM CONSULTÓRIO,150.00,PROCEDIMENTOS CLÍNICOS,CONSULTAS,CONSULTA MÉDICA
10101020,CONSULTA MÉDICA EM PRONTO-SOCORRO,200.00,PROCEDIMENTOS CLÍNICOS,CONSULTAS,CONSULTA MÉDICA
10101039,CONSULTA MÉDICA DOMICILIAR,180.00,PROCEDIMENTOS CLÍNICOS,CONSULTAS,CONSULTA MÉDICA
20101015,ELETROCARDIOGRAMA,80.00,PROCEDIMENTOS DIAGNÓSTICOS,EXAMES COMPLEMENTARES,CARDIOVASCULAR
20104028,RAIO X DE TÓRAX,120.00,PROCEDIMENTOS DIAGNÓSTICOS,EXAMES COMPLEMENTARES,RADIOLOGIA
20201023,HEMOGRAMA COMPLETO,35.00,PROCEDIMENTOS DIAGNÓSTICOS,EXAMES LABORATORIAIS,HEMATOLOGIA
20201031,GLICEMIA DE JEJUM,25.00,PROCEDIMENTOS DIAGNÓSTICOS,EXAMES LABORATORIAIS,BIOQUÍMICA
30101015,SUTURA SIMPLES,100.00,PROCEDIMENTOS CIRÚRGICOS,PEQUENAS CIRURGIAS,SUTURAS
40101010,CURATIVO SIMPLES,50.00,PROCEDIMENTOS TERAPÊUTICOS,CURATIVOS,SIMPLES
40201015,INALAÇÃO,40.00,PROCEDIMENTOS TERAPÊUTICOS,MEDICAÇÃO,AEROSSOL
